,corr_ans,words,masks,nonwords
0,right,sexual,&&&&&&&&&&&&&,wonderfujnoss
1,right,terrorists,&&&&&&&&&&,frocessing
2,left,help,&&&&&&&&&&&&,unreflectuve
3,left,useful,&&&&&&&&&&,clattening
4,left,values,&&&&&&&&&,seachwear
5,,negative,&&&&&&&&&,rivernoat
6,left,actively,&&&&&&&&&&&,lempestuous
7,left,peaceful,&&&&&&&&&&&,egpeditious
8,right,died,&&&&,juck
9,left,growth,&&&&&,pafer
10,left,hope,&&&&&&&&&,unscothed
11,left,opportunity,&&&&&&&&&&&,blunderints
12,right,torture,&&&&&&&&&&,ammessment
13,right,protesters,&&&&&&&&,tracious
14,left,promised,&&&&&&&,stindig
15,left,freedom,&&&&&&&&&,tenuflect
16,right,violence,&&&&&&&&&&,honstables
17,right,charges,&&&&&&&&&,neputized
18,right,death,&&&&&&&&,thadowed
19,right,prison,&&&&&&&&&,gandbrake
20,right,attacks,&&&&&&&&,thabbily
21,right,betrayal,&&&&&&&,Daptist
22,left,health,&&&&&&&&&&&,precificity
23,right,blamed,&&&,asn
24,left,compassion,&&&&&,uller
25,left,strength,&&&&&&&&,counpy's
26,right,rejected,&&&&&&,sgrawl
27,right,war,&&&&&&&&,framatic
28,left,restore,&&&&&&,fegard
29,left,integrity,&&&&&&&&&&,galamitous
30,right,officers,&&&&&&&&&&,elduringly
31,left,intelligence,&&&&&&&&&,discovars
32,left,progress,&&&&&&&&&&&,hefurbished
33,left,respect,&&&&&&&&,divility
34,right,abuse,&&&&&&&,emports
35,left,ensure,&&&&&,leact
36,left,agreement,&&&&&&&&&&,frojecting
37,right,arrests,&&&&&&&,troubla
38,right,racist,&&&&&&&&&&&&,nonobservalt
39,left,hand,&&&&&&&&&,crilfully
40,right,fraud,&&&&&&&&&&,chonograph
41,right,riot,&&&,oam
42,left,praised,&&&&&&&&&&&&&,synchronazers
43,right,penalty,&&&&&&&&&&&&,feleological
44,right,scandal,&&&&&&&&&,ittutable
45,right,ban,&&&&&&&,chreams
46,left,energy,&&&&&&&&&,godlaness
47,left,fair,&&&&&&&,allears
48,right,forced,&&&&&,ablow
49,right,drug,&&&&&&,chared
50,right,civilians,&&&&&&&&,suggists
51,left,win,&&&&&,framo
52,right,threatened,&&&&&&&&,epigrach
53,left,party,&&&&&&&&&&&&,bruthfulness
54,left,clean,&&&&&&&&&&,pistraught
55,left,benefit,&&&&&&&&,gournful
56,left,care,&&&&&&&&&&&,fornicalion
57,right,black,&&&&&&,greaks
58,right,serial,&&&&&&&&,slending
59,right,failure,&&&&&&&&&&,ejanulated
60,left,ability,&&&&&,atson
61,left,friends,&&&&&&,antral
62,left,improve,&&&&&&&,festate
63,,positive,&&&&&&&&&,Phintoism
64,right,slavery,&&&&&,dumid
65,left,encourage,&&&&&&&&&&&&,iptervention
66,right,victims,&&&&&&&&,perified
67,left,trust,&&&&&&&&,nuckheap
68,left,loyalty,&&&&&&,papert
69,right,crime,&&&&&&&&&,pescinded
70,right,terrorist,&&&&&&&&,crinking
71,right,gun,&&&&&&&&&&&,presentkess
