,words,corr_ans,category,masks,symbols
0,terrorist,right,loyalty.vice,&&&&&&&&&,images/symbols/symbol_65.png
1,sharing,left,loyalty.virtue,&&&&&&&,images/symbols/symbol_79.png
2,prison,right,fairness.vice,&&&&&&,images/symbols/symbol_78.png
3,penalty,right,authority.vice,&&&&&&&,images/symbols/symbol_35.png
4,credit,left,fairness.virtue,&&&&&&,images/symbols/symbol_67.png
5,violations,right,sanctity.vice,&&&&&&&&&&,images/symbols/symbol_33.png
6,energy,left,sanctity.virtue,&&&&&&,images/symbols/symbol_71.png
7,violence,right,care.vice,&&&&&&&&,images/symbols/symbol_29.png
8,party,left,loyalty.virtue,&&&&&,images/symbols/symbol_43.png
9,serial,right,sanctity.vice,&&&&&&,images/symbols/symbol_37.png
10,dignity,left,sanctity.virtue,&&&&&&&,images/symbols/symbol_50.png
11,soughste,,nonword,&&&&&&&&,images/symbols/symbol_5.png
12,unpleasant,left,control,&&&&&&&&&,images/symbols/symbol_14.png
13,abuse,right,sanctity.vice,&&&&&,images/symbols/symbol_24.png
14,injured,right,care.vice,&&&&&&&,images/symbols/symbol_2.png
15,men,right,loyalty.vice,&&&,images/symbols/symbol_76.png
16,lies,right,fairness.vice,&&&&,images/symbols/symbol_44.png
17,fourz,,nonword,&&&&&,images/symbols/symbol_27.png
18,praised,left,loyalty.virtue,&&&&&&&,images/symbols/symbol_49.png
19,sexual,right,sanctity.vice,&&&&&&,images/symbols/symbol_63.png
20,wence,,nonword,&&&&&,images/symbols/symbol_10.png
21,strength,left,sanctity.virtue,&&&&&&&&,images/symbols/symbol_81.png
22,honored,left,authority.virtue,&&&&&&&,images/symbols/symbol_18.png
23,trust,left,authority.virtue,&&&&&,images/symbols/symbol_8.png
24,troops,right,loyalty.vice,&&&&&&,images/symbols/symbol_31.png
25,interests,left,fairness.virtue,&&&&&&&&&,images/symbols/symbol_54.png
26,respect,left,sanctity.virtue,&&&&&&&,images/symbols/symbol_68.png
27,pleasant,right,control,&&&&&&&,images/symbols/symbol_42.png
28,threatened,right,fairness.vice,&&&&&&&&&&,images/symbols/symbol_36.png
29,peaceful,left,authority.virtue,&&&&&&&&,images/symbols/symbol_23.png
30,critics,right,loyalty.vice,&&&&&&&,images/symbols/symbol_48.png
31,black,right,loyalty.vice,&&&&&,images/symbols/symbol_41.png
32,care,left,care.virtue,&&&&,images/symbols/symbol_74.png
33,promised,left,loyalty.virtue,&&&&&&&&,images/symbols/symbol_9.png
34,police,right,authority.vice,&&&&&&,images/symbols/symbol_19.png
35,progress,left,authority.virtue,&&&&&&&&,images/symbols/symbol_20.png
36,commitment,left,sanctity.virtue,&&&&&&&&&&,images/symbols/symbol_40.png
37,civilians,right,care.vice,&&&&&&&&&,images/symbols/symbol_51.png
38,fair,left,fairness.virtue,&&&&,images/symbols/symbol_62.png
39,voter,right,fairness.vice,&&&&&,images/symbols/symbol_53.png
40,fighters,right,authority.vice,&&&&&&&&,images/symbols/symbol_55.png
41,restore,left,care.virtue,&&&&&&&,images/symbols/symbol_39.png
42,riot,right,authority.vice,&&&&,images/symbols/symbol_52.png
43,jogns,,nonword,&&&&&,images/symbols/symbol_22.png
44,strong,left,loyalty.virtue,&&&&&&,images/symbols/symbol_57.png
45,useful,left,authority.virtue,&&&&&&,images/symbols/symbol_72.png
46,promote,left,sanctity.virtue,&&&&&&&,images/symbols/symbol_75.png
47,conspiracy,right,sanctity.vice,&&&&&&&&&&,images/symbols/symbol_12.png
48,praise,left,authority.virtue,&&&&&&,images/symbols/symbol_61.png
49,hand,left,sanctity.virtue,&&&&,images/symbols/symbol_69.png
50,forced,right,fairness.vice,&&&&&&,images/symbols/symbol_25.png
51,stourz,,nonword,&&&&&&,images/symbols/symbol_4.png
52,rejected,right,authority.vice,&&&&&&&&,images/symbols/symbol_70.png
53,slavery,right,loyalty.vice,&&&&&&&,images/symbols/symbol_30.png
54,rebels,right,authority.vice,&&&&&&,images/symbols/symbol_58.png
55,groups,right,loyalty.vice,&&&&&&,images/symbols/symbol_82.png
56,sharz,,nonword,&&&&&,images/symbols/symbol_11.png
57,ailled,,nonword,&&&&&&,images/symbols/symbol_26.png
58,accused,right,fairness.vice,&&&&&&&,images/symbols/symbol_28.png
59,opportunity,left,fairness.virtue,&&&&&&&&&&&,images/symbols/symbol_56.png
60,help,left,care.virtue,&&&&,images/symbols/symbol_21.png
61,harassment,right,sanctity.vice,&&&&&&&&&&,images/symbols/symbol_6.png
62,celebrated,left,authority.virtue,&&&&&&&&&&,images/symbols/symbol_64.png
63,victims,right,care.vice,&&&&&&&,images/symbols/symbol_15.png
64,compassion,left,care.virtue,&&&&&&&&&&,images/symbols/symbol_59.png
65,peace,left,care.virtue,&&&&&,images/symbols/symbol_34.png
66,shot,right,care.vice,&&&&,images/symbols/symbol_66.png
67,hope,left,loyalty.virtue,&&&&,images/symbols/symbol_80.png
68,growth,left,care.virtue,&&&&&&,images/symbols/symbol_32.png
69,suicide,right,care.vice,&&&&&&&,images/symbols/symbol_77.png
70,protect,left,fairness.virtue,&&&&&&&,images/symbols/symbol_45.png
71,free,left,fairness.virtue,&&&&,images/symbols/symbol_13.png
72,treize,,nonword,&&&&&&,images/symbols/symbol_1.png
73,torture,right,care.vice,&&&&&&&,images/symbols/symbol_3.png
74,gun,right,authority.vice,&&&,images/symbols/symbol_17.png
75,stroad,,nonword,&&&&&&,images/symbols/symbol_73.png
76,corruption,right,sanctity.vice,&&&&&&&&&&,images/symbols/symbol_47.png
77,good,left,care.virtue,&&&&,images/symbols/symbol_7.png
78,psured,,nonword,&&&&&&,images/symbols/symbol_60.png
79,charges,right,fairness.vice,&&&&&&&,images/symbols/symbol_38.png
80,intelligence,left,loyalty.virtue,&&&&&&&&&&&&,images/symbols/symbol_16.png
81,promises,left,fairness.virtue,&&&&&&&&,images/symbols/symbol_46.png
