text,category,corr_ans,topic
@yokoono Over 1,100,000 people killed by guns in the USA since @JohnLennon was shot and killed on Dec 8 1980 #StopGunViolence,care.vice,right,gun
@toad comments on Tina Marshall's anniversary and asks for public's help as he looks at new gun safety actions,care.virtue,left,gun
@qarty But Mr. Sanders, in a free country, our guns should be free to have a terrorist. #gunsanity #gunsense,fairness.virtue,left,gun
@jiordan Most gun control laws are ineffective at stopping crime,fairness.vice,right,gun
@bob35 Retweet if you support the Second Amendment!,loyalty.virtue,left,gun
@laurien The Second Amendment must go: We ban lawn darts. It's time to ban guns,loyalty.vice,right,gun
@york We have an obligation to end #gunviolence,authority.virtue,left,gun 
@sabrina49 Gun bans don't disarm criminals, gun bans attract them,authority.vice,right,gun
@helena_roy Faith and advocacy groups hosting vigils to end gun violence this week,sanctity.virtue,left,gun
@adoesch Don't condemn Islam for these two terrorists, but do condemn all law-abiding gun owners because of the guns they used,sanctity.vice,right,gun
@tlocke: Millennials care about climate change, conservatives should too,care.virtue,left,climate
@JoYce 24hrs after #Paris attacks @thomas_dune says climate change is biggest threat to national security,care.vice,right,climate
@AGSchneiderman Companies must be honest about climate change risks. ,fairness.virtue,left,climate
@NRDC: Exxon Under Criminal Investigation over Lying About Climate Change,fairness.vice,right,climate
@Jkmolly Retweet if you support American leadership on climate change,loyalty.virtue,left,climate
@PoliticsFairfax Most Coalition voters reject humans to blame for climate change,loyalty.vice,right,climate
@c40cities Cites are committing to take local action to strengthen national commitments to fighting #climatechange,authority.virtue,left,climate
@MEAIndia The two main challenges facing the world today are terrorism and global warming,authority.vice,right,climate
@FEdwards We should respect worker's rights, respect the right to organize, and fight climate change,sanctity.virtue,left,climate
@AmblRay As climate change reduces resources, women travel farther to collect water and firewood, increasing risk of sexual violence.,sanctity.vice,right,climate
@HPPics Newly married Richard Cormac kiss after the first ever same sex marriage in Ireland,care.virtue,left,marriage
@WGNNews Utah same-sex couple fighting judge who removed foster child to place with heterosexual couple,care.vice,right,marriage
@MelisaHary How can we truly achieve equality when religions are exempt from adhering to legislation around same-sex adoption?,fairness.virtue,left,marriage
@PinkNews Northern Irish DUP accused of 'abusing' peace process to block same-sex marriage,fairness.vice,right,marriage
@RKaB Thank you @repAdk for your support of the #EqualityAct! #LoveWins,loyalty.virtue,left,marriage
@TheLastWord The Mormon Church places a ban on church activities for children of same-sex couples,loyalty.vice,right,marriage
@BelTel Same-sex marriages signed into law in Republic of Ireland,authority.virtue,left,marriage
@PinkNews Northern Irish DUP faces protests after 'abusing' peace powers to veto same-sex marriage,authority.vice,right,marriage
@ginatrapani Kids raised by same-sex parents often happier & healthier b/c parents don't fall into default gender roles.,sanctity.virtue,left,marriage
@Aisas_Raan According to the 2015 @ILGAWORLD State Sponsored Homophobia report, 75 countries criminalise same-sex sexual acts.,sanctity.vice,right,marriage
